200	独孤天下	629832
201	愛情白皮書 (2019年電視劇)	629749
202	守護神之保險調查	629144
203	返校	627962
204	楊丞琳	627437
205	周興哲	623020
206	山茶花開時	620824
207	關於我轉生變成史萊姆這檔事角色列表	620774
208	王一博	616256
209	歐陽娜娜	614374
210	吳怡農	613404
211	認識的哥哥	610626
212	第二次世界大战	609846
213	網紅的瘋狂世界	609631
214	包青天再起風雲	606057
215	水行俠 (電影)	600769
216	二二八事件	599019
217	澳門	597686
218	雍正帝	595087
219	古天樂	591668
220	金材昱	590872
221	GOT7	589900
222	宋慧喬	589448
223	宸汐缘	589141
224	福爾摩師奶	589119
225	Pornhub	588357
226	NCT	586247
227	百度	578143
228	全職高手 (網絡劇)	575998
229	基努·里维斯	575537
230	玩命關頭：特別行動	571625
231	劉以豪	570659
232	2020年中華民國總統選舉民意調查	570022
233	林書豪	564497
234	林俊杰	560036
235	Wanna One	555392
236	招摇 (电视剧)	553938
237	吕不韦	551949
238	一带一路	549945
239	俄罗斯	549907
240	杨洋 (男演员)	546987
241	張國榮	544439
242	輝夜姬想讓人告白~天才們的戀愛頭腦戰~	543933
243	平凡職業造就世界最強	542482
244	AKIRA	541759
245	英国	540708
246	王淨	539443
247	多羅羅	538789
248	易烊千玺	537711
249	男神時代	537603
250	大韩民国	535674
251	台灣YouTube頻道訂閱人數排行榜	533004
252	願榮光歸香港	532362
253	京都動畫	532220
254	王岐山	531981
255	林依晨	529750
256	皇后乐队	527364
257	Netflix	527241
258	3年A班－從此刻起，大家都是我的人質－	527149
259	僅此一次的愛情	527106
260	哈利·波特	526038
261	陈钰琪	525147
262	李登輝	524490
263	她她她的少女時代	524024
264	澳大利亚	521643
265	三生三世枕上书	520986
266	凤弈	520579
267	李榮浩	519064
268	张彬彬	518765
269	FAIRY TAIL	518350
270	第一次世界大战	518152
271	中國	517766
272	石原聰美	516266
273	朝鲜战争	514434
274	康熙帝	514404
275	牛下女高音	513885
276	家師父一體	513050
277	黑色五叶草	511022
278	標準差	509599
279	聲林之王2	506820
280	微微一笑很倾城 (电视剧)	505926
281	朴敘俊	505414
282	橋本有菜	504868
283	彭于晏	502846
284	呂珍九	498621
285	NINE PERCENT	498288
286	瑯琊榜 (電視劇)	498216
287	Dr.STONE 新石紀	496053
288	印度	495457
289	蜡笔小新	494443
290	太陽花學運	493886
291	芸汐传	493477
292	中國國民黨	493088
293	李小龙	493025
294	吳宗憲	492907
295	高爾宣	492113
296	米津玄師	491744
297	靈異街11號	491188
298	蔣經國	490964
299	Angelababy	489255
300	白石麻衣	489202
301	黑鏡	488884
302	朴信惠	488848
303	周永康	488220
304	马云	487952
305	以色列	487761
306	陳之漢	486949
307	東京喰種	485803
308	AV女優	485659
309	宫崎骏	485076
310	沙贊！ (電影)	484677
311	周子瑜	484627
312	耀眼	483773
313	Red Velvet	483350
314	捍衛任務3：全面開戰	483134
315	薩諾斯	482462
316	OVERLORD (小說)	482019
317	吳慷仁	481912
318	2020年中華民國立法委員選舉	480911
319	噬罪者	480394
320	Fate/stay night	480178
321	朝鮮浪漫喜劇–綠豆傳	479972
322	狂賭之淵	478591
323	Re:從零開始的異世界生活	478051
324	SCP基金会	476454
325	假面騎士ZI-O	473955
326	加拿大	473609
327	郭碧婷	473518
328	德国	473218
329	理科太太	471846
330	泰国	471668
331	伊丽莎白二世	471335
332	GFRIEND	469418
333	九二共識	468651
334	ASCII	467696
335	LIHKG討論區	467523
336	李克强	467483
337	幸福綠皮書	466589
338	阿道夫·希特勒	466522
339	黃金之風	466497
340	郑爽	466219
341	會讀心術的那小子	464540
342	膜蛤文化	464538
343	坂井泉水	464031
344	玩具總動員4	462903
345	Google	461789
346	李鹏	461674
347	陳水扁	461070
348	18歲的瞬間	460898
349	馬英九	458323
350	牠 (電影)	458258
351	鞠婧禕	457401
352	ONE PIECE海賊列表	457307
353	炎炎消防隊	456934
354	大帥哥	456305
355	X1 (組合)	456252
356	2016年中華民國總統選舉	455837
357	新垣結衣	455115
358	罪夢者	454329
359	馮紹峰	452820
360	羅志祥	452196
361	婚姻合伙人	451381
362	2019年世界棒球12強賽	451320
363	車銀優	451049
364	林予晞	448805
365	創造營2019	447276
366	明朝	447162
367	明星大偵探	447060
368	為美好的世界獻上祝福！	446751
369	蜘蛛人	446040
370	金庸	444864
371	木村拓哉	444816
372	成龍	444430
373	梁天琦	442471
374	青春豬頭少年	441872
375	蕭敬騰	441571
376	唐朝	441457
